id,faculty_id/id,program_id/id
link_fac_mptrcs_01_prog_mptrcs,fac_mptrcs_01,prog_mptrcs
link_fac_mptrcs_02_prog_mptrcs,fac_mptrcs_02,prog_mptrcs
link_fac_mptrcs_03_prog_mptrcs,fac_mptrcs_03,prog_mptrcs
link_fac_mptrcs_04_prog_mptrcs,fac_mptrcs_04,prog_mptrcs
link_fac_mptrcs_05_prog_mptrcs,fac_mptrcs_05,prog_mptrcs
link_fac_mptrcs_06_prog_mptrcs,fac_mptrcs_06,prog_mptrcs
link_fac_mptrcs_07_prog_mptrcs,fac_mptrcs_07,prog_mptrcs
link_fac_mptrcs_08_prog_mptrcs,fac_mptrcs_08,prog_mptrcs
link_fac_mptrcs_09_prog_mptrcs,fac_mptrcs_09,prog_mptrcs
link_fac_mptrcs_10_prog_mptrcs,fac_mptrcs_10,prog_mptrcs
link_fac_mptrcs_11_prog_mptrcs,fac_mptrcs_11,prog_mptrcs
link_fac_mptrcs_12_prog_mptrcs,fac_mptrcs_12,prog_mptrcs
