id,student_id/id,course_id/id,batch_id/id,program_id/id,curriculum_version_id/id,course_type,state,admission_date,completion_date
link_stu_mptrcs_t1_01,stu_mptrcs_t1_01,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_02,stu_mptrcs_t1_02,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_03,stu_mptrcs_t1_03,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_04,stu_mptrcs_t1_04,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_05,stu_mptrcs_t1_05,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_06,stu_mptrcs_t1_06,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_07,stu_mptrcs_t1_07,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_08,stu_mptrcs_t1_08,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_09,stu_mptrcs_t1_09,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_10,stu_mptrcs_t1_10,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_11,stu_mptrcs_t1_11,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_12,stu_mptrcs_t1_12,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_13,stu_mptrcs_t1_13,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_14,stu_mptrcs_t1_14,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t1_15,stu_mptrcs_t1_15,prog_mptrcs,batch_mptrcs_t1,prog_mptrcs,reg_mptrcs_v2,regular,finished,2022-03-01,2024-04-15
link_stu_mptrcs_t2_01,stu_mptrcs_t2_01,prog_mptrcs,batch_mptrcs_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_02,stu_mptrcs_t2_02,prog_mptrcs,batch_mptrcs_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_03,stu_mptrcs_t2_03,prog_mptrcs,batch_mptrcs_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
link_stu_mptrcs_t2_04,stu_mptrcs_t2_04,prog_mptrcs,batch_mptrcs_t2,prog_mptrcs,reg_mptrcs_v2,regular,finished,2023-03-01,2025-04-15
