id,curriculum_version_id/id,subject_id/id,area_name,scope
rule_sub_cc501,reg_xyzq_cc_2024,sub_cc501,Geral do Programa,program
rule_sub_cc502,reg_xyzq_cc_2024,sub_cc502,Geral do Programa,program
rule_sub_cc503,reg_xyzq_cc_2024,sub_cc503,Geral do Programa,program
rule_sub_cc510,reg_xyzq_cc_2024,sub_cc510,Geral do Programa,area
rule_sub_cc511,reg_xyzq_cc_2024,sub_cc511,Geral do Programa,area
rule_sub_cc512,reg_xyzq_cc_2024,sub_cc512,Geral do Programa,area
rule_sub_cc520,reg_xyzq_cc_2024,sub_cc520,Geral do Programa,area
rule_sub_cc521,reg_xyzq_cc_2024,sub_cc521,Geral do Programa,area
rule_sub_cc522,reg_xyzq_cc_2024,sub_cc522,Geral do Programa,area
rule_sub_fa601,reg_xyzq_fis_2024,sub_fa601,Geral do Programa,program
rule_sub_fa602,reg_xyzq_fis_2024,sub_fa602,Geral do Programa,program
rule_sub_fa603,reg_xyzq_fis_2024,sub_fa603,Geral do Programa,program
rule_sub_fa610,reg_xyzq_fis_2024,sub_fa610,Geral do Programa,area
rule_sub_fa611,reg_xyzq_fis_2024,sub_fa611,Geral do Programa,area
rule_sub_fa612,reg_xyzq_fis_2024,sub_fa612,Geral do Programa,area
rule_sub_fa620,reg_xyzq_fis_2024,sub_fa620,Geral do Programa,area
rule_sub_fa621,reg_xyzq_fis_2024,sub_fa621,Geral do Programa,area
rule_sub_fa622,reg_xyzq_fis_2024,sub_fa622,Geral do Programa,area
rule_sub_bm701,reg_xyzq_bio_2024,sub_bm701,Geral do Programa,program
rule_sub_bm702,reg_xyzq_bio_2024,sub_bm702,Geral do Programa,program
rule_sub_bm703,reg_xyzq_bio_2024,sub_bm703,Geral do Programa,program
rule_sub_bm710,reg_xyzq_bio_2024,sub_bm710,Geral do Programa,area
rule_sub_bm711,reg_xyzq_bio_2024,sub_bm711,Geral do Programa,area
rule_sub_bm712,reg_xyzq_bio_2024,sub_bm712,Geral do Programa,area
rule_sub_bm720,reg_xyzq_bio_2024,sub_bm720,Geral do Programa,area
rule_sub_bm721,reg_xyzq_bio_2024,sub_bm721,Geral do Programa,area
rule_sub_bm722,reg_xyzq_bio_2024,sub_bm722,Geral do Programa,area
rule_sub_es801,reg_xyzq_mpe_2024,sub_es801,Geral do Programa,program
rule_sub_es802,reg_xyzq_mpe_2024,sub_es802,Geral do Programa,program
rule_sub_es803,reg_xyzq_mpe_2024,sub_es803,Geral do Programa,program
rule_sub_es810,reg_xyzq_mpe_2024,sub_es810,Geral do Programa,area
rule_sub_es811,reg_xyzq_mpe_2024,sub_es811,Geral do Programa,area
rule_sub_es812,reg_xyzq_mpe_2024,sub_es812,Geral do Programa,area
rule_sub_es820,reg_xyzq_mpe_2024,sub_es820,Geral do Programa,area
rule_sub_es821,reg_xyzq_mpe_2024,sub_es821,Geral do Programa,area
rule_sub_es822,reg_xyzq_mpe_2024,sub_es822,Geral do Programa,area
